condition,method,coverage,selective_mae_mm_day,ci95_low_mm_day,ci95_high_mm_day
temperature_plus5,ConformalCSR,0.68,0.758077274666786,0.6693521687011608,0.8459628393006366
temperature_plus5,ConformalCSR,0.6900000000000001,0.76315784580746,0.6701285740143568,0.8492587339444336
temperature_plus5,ConformalCSR,0.7000000000000001,0.7538224831258661,0.6721805867517425,0.8512164097005731
temperature_plus5,ConformalCSR,0.71,0.7625949903375451,0.6727781108083193,0.8518637182740585
temperature_plus5,ConformalCSR,0.72,0.7670350811651843,0.6733252151409229,0.8551959509639141
temperature_plus5,ConformalCSR,0.73,0.7673508460895526,0.6763325935299587,0.8581452478072672
temperature_plus5,ConformalCSR,0.74,0.767854501399165,0.6773321148706423,0.8620233452176875
temperature_plus5,ConformalCSR,0.75,0.7654578046409822,0.6788410483076621,0.8632336399161423
temperature_plus5,ConformalCSR,0.76,0.7683690238750017,0.6795624020565454,0.8639945561503115
temperature_plus5,ConformalCSR,0.77,0.7703572834640389,0.6807201858960356,0.8655688925497718
temperature_plus5,ConformalCSR,0.78,0.7734120328535776,0.6846241918444251,0.8673577678768213
temperature_plus5,ConformalCSR,0.79,0.7718609221156375,0.6866778868405549,0.8707431597014564
temperature_plus5,ConformalCSR,0.8,0.7743222647558441,0.69041989110752,0.87343157480084
temperature_plus5,ConformalCSR,0.81,0.7783078713027243,0.6941481339744977,0.8761345602845358
temperature_plus5,ConformalCSR,0.8200000000000001,0.7828689367097501,0.7000031480622897,0.8799235991640402
temperature_plus5,ConformalCSR,0.8300000000000001,0.7849801559526876,0.7051490926040926,0.886644280596502
temperature_plus5,ConformalCSR,0.84,0.7945666253412338,0.7086551609203443,0.890041381858487
temperature_plus5,ConformalCSR,0.85,0.802219309306477,0.7143535071500391,0.8923371045463183
temperature_plus5,ConformalCSR,0.86,0.8015567178696027,0.7190473771859318,0.897494680315047
temperature_plus5,ConformalCSR,0.87,0.8034154566822335,0.7239484367971873,0.8993814336496784
temperature_plus5,ConformalCSR,0.88,0.8109279547541288,0.729181151447908,0.9024819240766769
temperature_plus5,ConformalCSR,0.89,0.8181293643516063,0.7331992724250826,0.9063105859928887
